"","Temperature","C99601a","C99601b","C86001a","c86001b","c81401a","c81401b","L11201a","L11201b","L22201a","L22201b","L19801a","L19801b","L11901a","L11901b","C74401a","C74401b","C76501a","C76501b","C61601a","C61601b","C15701a","C15701b","C67201a","C67201b","M7201a","M7201b","M77501a","M77501b","M77801a","M77801b","M52407a","M52407b","M87401a","M87401b","M88301a","M88301b","M11608a","M11608b","M41708a","M41708b","M9702a","M9702b","M10302a","M10302b","M10002a","M10002b","M42309a","M42309b","C16a","C16b","C21a","C21b","C17a","C17b","C15a","C15b","C31a","C31b","C39a","C39b","C34a","C34b","C40a","C40b","C29a","C29b","C03a","C03b","C06a","C06b","C04a","C04b"
"1",45,-0.000106615089388348,0.000153045969018196,-1.83043868325561e-07,-2.17553129306495e-05,2.59552995037306e-06,-1.22104866892904e-05,1.23241587396315e-05,1.46770589788039e-07,6.07598970095669e-06,2.28549180552199e-05,-0.000133775336554553,1.24254405385696e-05,1.35799920165252e-06,-5.50059895136074e-06,-2.20768773044269e-06,0.000117083320679964,0.000233631327034385,0.000214119667977748,0.000170534258885399,-0.000144111473414895,-5.04932999898599e-05,0.000115750862164479,-3.44688046978846e-05,-2.20423476315393e-05,-2.85514507844732e-05,-3.28769939133338e-07,1.70590461559383e-05,2.47460695609905e-05,1.9178758574771e-05,-0.00011393671535043,7.02411984597512e-05,-0.000123529465287891,0.00017175689715525,-0.000100312356596243,0.000103087144722823,0.000133172217191527,0.000292911852900665,-3.12623483294667e-05,0.000266104066497785,-0.000161097923609237,-3.8498342179998e-05,5.25478205915999e-05,0.000199866934428847,1.85113020715615e-05,1.23553484028658e-05,4.19912255268883e-05,2.84320278503517e-05,-0.000132215777651203,5.59806369371893e-06,0.000333250016972557,-0.000314600528978985,-0.00109434972698238,-1.5351149541618e-07,4.06452352926434e-05,0.000320429890547954,0.000217356575203223,3.72532777484609e-05,-6.9011979717449e-05,4.59069245449942e-05,-4.87288432375377e-05,9.96453465867065e-06,-0.000573422072034479,6.54658222294714e-06,-0.000163922742216298,4.92330638172666e-06,-0.000120639803707107,-5.39101411865755e-05,-2.4715076586314e-05,-7.84559519643178e-05,4.6172238658444e-05,-4.173781504862e-05,-8.02121268170518e-05
"2",45.1,-1.1148617655081e-05,-3.76952177423645e-05,-2.56163711356605e-06,2.20451060550233e-06,6.71375120528397e-07,5.37116118119543e-06,-4.72410627825617e-06,1.10565155842577e-07,-1.40846628488077e-06,-8.17962715528869e-06,4.41943322274649e-06,2.1365052437146e-06,-4.52910721315129e-07,2.99826509185238e-05,-7.03649726676689e-06,-1.11089394655628e-05,-1.82813028010473e-05,-6.09507536671195e-05,-9.84075896780149e-05,8.13372496782627e-05,1.93795034770095e-05,-4.75179331098489e-05,1.48465343195942e-05,2.46106282810798e-05,1.26516984867842e-05,-2.89302871585434e-06,-3.02626560592397e-06,-1.45265006193644e-05,-6.66333522856438e-06,3.98265354228364e-05,-3.23051248272812e-05,5.77749645282823e-05,-7.77074957392592e-05,4.55788115443379e-05,-4.07287709182035e-05,-5.69978788601184e-05,-0.000121280554172561,4.96427554580034e-06,-0.000108956522837102,1.52642405985523e-05,8.21106188140658e-06,-2.43610989744245e-05,-6.8610635773976e-05,-2.5140025832911e-07,-8.48380694413429e-07,-2.22003297282113e-05,-8.43126738716811e-06,6.11409010334309e-05,6.69715717655676e-06,0.000173158199371371,-7.12755841845773e-05,0.00047868515074736,-3.85814155150738e-08,3.84272192200745e-06,-2.82018428518218e-05,-3.48644030831933e-05,-3.59382789396543e-06,-1.05424701269434e-06,1.15041104429012e-05,1.42702785861957e-05,-2.13809364472084e-06,-0.000534480632661551,-6.94015078993165e-07,-2.46157433205527e-05,-4.34566417310946e-06,-1.57441611642693e-05,7.84636044977544e-09,6.13319062531152e-05,1.73128377263891e-05,-4.71568088037058e-06,1.75092406188197e-06,-6.9330205847753e-06
"3",45.2,2.99942910339332e-05,-6.5442131316784e-05,1.13949551185106e-07,1.13767219481856e-05,-1.10015581674202e-06,6.74027217124204e-06,-6.43298943767017e-06,-5.8325216032928e-08,-2.75890677768895e-06,-1.2929667280234e-05,4.64024879034685e-05,-1.33152669736829e-06,-6.72691469564582e-07,1.34132950831068e-05,-2.72098112210632e-06,-5.34290430228154e-05,-9.16106840825946e-05,-0.00011067419409046,9.20858813268912e-05,-2.08465103366425e-05,1.1710297434495e-05,-7.31358947411806e-06,7.37120114010866e-06,-2.60194921630612e-05,2.36691916729303e-06,7.2765490553172e-06,-5.26323247186934e-06,1.1369756243427e-05,-5.39102132318185e-06,2.28815011726021e-05,-5.95942453867966e-06,7.63459359895908e-06,-3.91122095278084e-05,-7.35416388991079e-07,-1.77147261469798e-05,-1.65611336184731e-05,-2.18745970189503e-05,1.87808272969075e-05,-2.60344914509687e-05,0.000236395214880683,1.48888339368729e-05,-4.9013401525367e-06,-4.27476837466642e-05,-4.51162267140801e-05,-1.04997413362368e-05,3.07807473626581e-06,2.45339943088874e-05,4.32006524844103e-06,-1.10896633687824e-07,-2.97072266629545e-05,5.32705435719884e-05,0.000622506837846764,-8.38727483023568e-09,-1.15656755659976e-05,-0.000112199517908783,-9.69482274755065e-05,-1.49871601487198e-05,2.17367598663807e-05,-6.50110458864268e-06,2.60813374850856e-05,-4.11744387450038e-06,-0.00015914047844636,-1.52412141231962e-06,3.89876693359162e-05,-3.5394135811322e-06,2.91059392282666e-05,1.81716107832781e-05,2.87513974694843e-05,3.43161081522817e-05,-1.69473866173198e-05,-1.63791316690257e-08,2.69663921609548e-05
"4",45.3,2.26047342101621e-05,-7.00965906175418e-06,3.66557902503615e-06,7.28508909914433e-06,-2.39003314553065e-06,9.25330948750236e-07,-1.83501056962884e-07,-2.2326675502761e-07,2.12664547400002e-07,-3.41695232364193e-06,2.78661614965203e-05,8.96566290868361e-08,-9.06957623616591e-08,-1.93302526890158e-05,7.72619534074237e-06,-4.22561361928457e-05,-5.49678764323395e-05,-3.94563105641687e-05,9.61720837885259e-05,-8.1172391636646e-05,-8.26976676063091e-06,2.92348723419437e-05,-8.23968517253325e-06,-3.83755510896132e-05,-8.4801148103732e-06,7.55560243580245e-06,-1.8826680578682e-06,1.4807317403738e-05,1.7701234575009e-06,-1.44936020576347e-05,2.1404522136446e-05,-4.10284025746987e-05,4.92875440544428e-05,-3.62495266229478e-05,1.98044909497607e-05,3.45028705278725e-05,7.57308278812618e-05,9.27954557211713e-06,6.25438937348161e-05,6.27014629455218e-05,5.00100786683265e-06,1.66868869298326e-05,2.56774137132789e-05,-9.49388664915372e-06,-5.94114684925452e-06,2.0378864788425e-05,-2.68970606374222e-06,-5.12406291734783e-05,-8.25527560512993e-06,-0.000211271565289202,8.94036833292968e-05,0.000103587387354594,-2.96586918704569e-08,-6.72336719186433e-06,-3.50259025919255e-05,-4.36776553459984e-05,-7.07284121396919e-06,1.62029192926452e-05,-7.78827259969897e-06,1.36965380135486e-05,-1.29898342160399e-06,0.000386631226909443,2.78616976761271e-07,3.4110105697577e-05,1.06844794104334e-06,2.30471165159338e-05,8.15502767980948e-06,-4.07739685461225e-05,8.00289769953568e-06,-4.80564402358561e-06,-1.51103343784154e-05,2.87533892121566e-05
"5",45.4,-8.29236151841692e-07,4.55050315588439e-05,4.09067036078534e-06,-5.92134746359359e-07,-2.86524964103092e-06,-3.29439943398159e-06,5.44350506893278e-06,-2.52669006217621e-07,3.34093860854125e-06,7.79608636734432e-06,-2.5808554933943e-06,1.84270536898652e-06,4.27649544679472e-07,-3.31697774553193e-05,1.49539519652461e-05,-1.40220445663416e-05,4.52772579687923e-06,3.75724969227339e-05,-0.000152928311681632,-1.55856596637838e-06,-1.22014874218654e-05,7.49838001817501e-07,-1.09246153094099e-05,1.13025237774944e-05,-3.29988217157925e-06,-4.23848762248433e-06,8.30149519473042e-07,-1.68329630613451e-05,4.77255863538385e-06,-1.44298351244293e-05,8.47607630015342e-06,-1.42186593040937e-05,7.15473919881668e-05,-2.66731706118455e-06,1.57838789127106e-05,2.00946383343716e-05,1.26693142727394e-05,-1.16589463945791e-05,1.48783261182536e-05,-0.000355134064621303,-5.95351908774087e-06,8.67247573396433e-06,3.26250729729459e-05,7.81701654791287e-05,8.17372282953644e-06,2.51003378645739e-06,-7.54393343184868e-05,-2.31877701068652e-05,-1.13322644660146e-05,-0.000283870058535992,7.91019372357583e-05,-0.000313351304037891,-4.89252783065734e-08,4.14400492787992e-06,5.84674153276088e-05,2.76514964069269e-05,4.05705629548219e-06,3.72987230910189e-06,-2.71234992444777e-06,2.6276858286526e-06,1.26604777815267e-06,0.000740735332980392,8.33579016176242e-07,4.80622198696498e-06,3.54280198544177e-06,3.17440464390923e-07,-8.24265598808975e-06,-7.07072860433929e-05,-1.83306225745536e-05,9.95360089838469e-06,-9.82083975283115e-06,1.47273998165252e-05
"6",45.5,-1.299998400164e-05,4.35903096668777e-05,1.04507247245659e-06,-4.26412355087761e-06,-2.28980236524684e-06,-3.14252956650205e-06,5.93461691593528e-06,-1.32090580092869e-07,3.4724787333322e-06,1.38756873760753e-05,-1.42333090075284e-05,5.12559921964983e-07,4.68078650264768e-07,-2.05834530390546e-05,1.13667470021346e-05,9.28398828044096e-06,3.32593207649235e-05,6.21887162518849e-05,-0.000201726073724775,7.06728699662105e-05,-4.92416143819305e-06,-2.3397896592656e-05,-4.04859779268389e-06,4.64855888848592e-05,3.97280958338472e-06,-1.20528487698571e-05,1.92062706922383e-06,-2.95956315915243e-05,3.57885299804708e-06,-2.01994373516608e-06,-8.78417948292181e-06,2.00861893187708e-05,2.01834453045764e-05,2.84010822156112e-05,2.2820977095929e-07,-8.68778076785018e-06,-5.22505125889172e-05,-2.07836648597807e-05,-3.26264025624614e-05,-0.000342795605663734,-9.63944514499866e-06,-5.48233060447856e-06,6.01754247834492e-06,7.04463251455842e-05,1.36984374400135e-05,-1.62555333660736e-05,-5.29373238119748e-05,2.33983661444984e-05,-8.06609333422767e-06,-0.000192699227454079,5.31604413100495e-05,-0.00034202150580191,-2.99988728150492e-08,8.5869044865729e-06,7.61758993055029e-05,5.65862236330929e-05,7.42893839903534e-06,-2.49673168278983e-06,-3.31610979018876e-07,1.59444949962079e-07,1.89516663270963e-06,0.00062447452538014,-1.00817236795945e-06,-1.17670502234413e-05,2.57370896254231e-06,-1.10145223589816e-05,-1.36544792663754e-05,-4.8139476931336e-05,-2.06469658095029e-05,1.28132064834502e-05,2.42311851217353e-05,-1.8107299898069e-06
"7",45.6,-1.24435100925291e-05,1.06322311568733e-05,-2.7747161269968e-06,-3.67798629161436e-06,-9.5767687492005e-07,-8.05790878765874e-07,3.01621491046831e-06,5.22513465010552e-08,1.41604322138453e-06,1.421403422449e-05,-1.19895501525896e-05,-2.812000912651e-06,2.09071121593517e-07,1.36468530240581e-06,-1.48905081933708e-07,2.46177484499297e-05,3.63194219974541e-05,5.07770405766755e-05,0.000154516406534917,4.02592981354876e-05,6.485024691892e-06,-5.56431017067833e-07,6.87230707444394e-06,2.09666937727817e-05,3.61580748884958e-06,-6.20826498873531e-06,1.2986666102502e-06,5.01426833434644e-06,-5.77813734574249e-07,2.86291986753982e-06,-5.95441038325896e-06,1.546142758606e-05,-7.74368463708542e-05,1.15463492434163e-05,-4.22983371715394e-06,-1.43596367377008e-05,-1.63627602671801e-05,-6.26761541349374e-06,4.1936940249837e-06,0.00034577741926349,-2.85928277251419e-06,-8.50630370896268e-06,-2.3125820399449e-05,-8.46415636880936e-05,1.59507986062338e-06,-1.28943666294274e-05,0.000108628564258147,3.98934038101469e-05,-1.74540758590146e-06,-2.73962142843447e-06,2.26976972778523e-05,-0.000143656444558584,1.59200836811329e-08,5.86480416196547e-06,3.90700902797286e-05,5.12167370950889e-05,4.92267343874529e-06,-3.52908686726162e-06,-1.4479205461664e-06,1.36442706226127e-06,1.15993153884518e-06,0.000175471820806694,-3.40420080550719e-06,-1.2718049039542e-05,1.30289876294191e-07,-9.87540874579176e-06,-9.05399277268115e-06,-2.95072218586028e-06,-7.65049321618685e-06,6.83339322285788e-06,6.35239541338458e-05,-1.61708129017623e-05
"8",45.7,-5.73878993964682e-06,-2.32617662045206e-05,-4.59040059308617e-06,-1.41810095283405e-06,6.57046085791781e-07,1.38677286514869e-06,-1.05606039996005e-06,2.11041538703747e-07,-1.04993706525586e-06,8.51835594361667e-06,-4.95718407355163e-06,-5.93233658727922e-06,-1.30601043271439e-07,1.47930750791632e-05,-1.28326065034671e-05,3.02200383399565e-05,2.47358422967608e-05,2.47769113047512e-05,0.000418506634870111,-2.74565062124541e-05,1.21506082245297e-05,2.99429850492699e-05,1.29314847741739e-05,-2.26980643027677e-05,-4.37580480791859e-07,4.6952123768461e-06,6.4216311750993e-07,4.34994610330619e-05,-4.06325843395922e-06,1.62120299691689e-06,4.34928473685588e-06,-5.47003193841836e-06,-0.000113655623723114,-1.80035741267255e-05,-1.96953518815536e-06,-5.71931863359789e-06,4.84111619558655e-05,1.27630985263104e-05,4.73017397351974e-05,0.000796304550768574,4.8803041182656e-06,-3.90908556580325e-06,-2.76639410289346e-05,-0.000182302389822149,-1.24752904261065e-05,1.65512964165395e-06,0.000195208997392591,3.19522289445282e-05,4.18550810118808e-06,0.000193743017549003,-3.1673559318465e-06,0.000103311595202189,6.9580961274788e-08,-2.2337060079498e-08,-1.7269631470581e-05,2.71038615252707e-05,4.03615310634661e-07,-1.84194707526365e-06,-3.62472399060225e-06,1.13361842041069e-06,-3.27515966812729e-07,-0.000339007255363108,-4.36030854702599e-06,-5.77499313988816e-06,-1.76083108083699e-06,-2.57333373238256e-06,-1.57950787018196e-07,3.43886496094841e-05,8.77066600836632e-06,-2.30921115099453e-06,8.25018656309821e-05,-2.51986856143942e-05
"9",45.8,5.326259496449e-07,-3.42437419778004e-05,-3.07369197380401e-06,-7.06023406441049e-08,2.08013746957862e-06,2.0169664841922e-06,-4.02928161165979e-06,2.82886898530919e-07,-2.14703126454314e-06,-2.32010892553493e-06,-8.69320951563861e-07,-6.64980655433754e-06,-3.32871861205974e-07,1.0173120154426e-05,-1.99177529932128e-05,2.55363298415298e-05,9.53275342696554e-06,1.52341973087133e-06,3.29105761234355e-05,-4.56888671109516e-05,2.75746044718265e-06,1.90312737190766e-05,5.56585683602395e-06,-3.07551946268711e-05,-2.3596900064297e-06,9.63806315196689e-06,1.7185397514309e-06,3.442823574625e-05,-3.14918862199461e-06,-1.02588072270703e-06,4.6365110435444e-06,-1.0780378036159e-05,1.83588684281765e-05,-1.50027952787323e-05,-1.27013144701375e-06,1.74259686760594e-06,4.80392893329338e-05,1.36673970493611e-05,9.78323043799966e-07,1.20804266253782e-05,2.84243988577143e-06,1.69707704249414e-06,1.51865127803875e-05,-4.68421869170666e-07,-1.02377651748581e-05,1.17279874756765e-05,-2.12625921067698e-05,1.33056175276347e-05,7.34724119319254e-06,0.000304482947486291,-1.7138184877854e-05,0.000222167636161527,1.11733130058729e-07,-5.06115165200629e-06,-5.72639741508278e-05,-1.92383877296914e-07,-2.26288208927389e-06,9.09702372175556e-08,-4.41784146603748e-06,-2.75361832023877e-06,-2.00679557865912e-06,-0.000651655354922542,-2.66697454899162e-06,1.33067728748325e-06,-2.02115106679026e-06,4.58340700476928e-06,7.31688579347425e-06,4.72402356887436e-05,1.67369561908279e-05,-8.93797897278947e-06,5.57862492248137e-05,-2.5740184822756e-05
"10",45.9,6.71444278112603e-07,-2.5300989559929e-05,1.8977222720435e-07,-1.8850574687116e-06,2.8825142993839e-06,1.48595730226083e-06,-4.5148723693673e-06,2.64577936343981e-07,-5.17080219981315e-07,-1.42340121252266e-05,-2.10427232036905e-07,-3.30146730973901e-06,-2.85869808586969e-07,-3.92657353865052e-06,-1.5504496669694e-05,1.40063531657648e-05,-1.13359093019572e-06,-1.52407818405477e-05,-0.000655649097863484,-8.05466069079701e-06,-1.40647196017423e-05,-2.37513842637232e-05,-9.39688366045019e-06,-2.47048721180198e-06,-1.08696298481998e-06,6.26442037794883e-06,3.06866256147072e-06,-1.46617708482441e-05,1.05362577441175e-06,-2.33541527487861e-06,-4.79066776775145e-06,1.70314751965389e-06,0.000203529323860846,1.52037487135181e-05,-3.09823423375698e-06,3.35118357660135e-06,-1.42300926656565e-05,-1.36084056009598e-06,-8.86983200061895e-05,-0.00129082421250083,-6.38924874398347e-06,4.87345941629596e-06,6.6433963803705e-05,0.000297621187044756,5.05385554539747e-06,1.14990544166288e-05,-0.000343868418423014,-8.94008943870901e-06,7.88812941829315e-06,0.000257599586536267,-2.03081648876892e-05,0.000145052898156489,1.27462754480834e-07,-5.60247312954741e-06,-5.66580526311837e-05,-1.85319632009111e-05,-4.19350252206827e-07,5.50552771013836e-07,-1.67759347734764e-06,-7.8633586626584e-06,-3.40076043177496e-06,-0.000537043844134288,5.47611798100176e-07,1.81846119811632e-06,-1.18712465427797e-06,6.1401900195516e-06,8.52654233744394e-06,4.13213814659388e-05,9.66654161946135e-06,-8.95732959633017e-06,-1.95374506359455e-05,-1.60509474164809e-05
