"","lower","upper","method","SampleID"
"1",53.24153,84.63846,"innermost","1a"
"2",57.35917,87.32289,"innermost","1b"
"3",50.6268,85.94046,"innermost","2a"
"4",59.57653,86.67358,"innermost","2b"
"5",59.54223,85.97255,"innermost","3a"
"6",58.69077,86.73776,"innermost","3b"
"7",58.57386,85.98763,"innermost","4a"
"8",52.09201,86.80558,"innermost","4b"
"9",55.19217,83.95577,"innermost","5a"
"10",55.15912,85.88946,"innermost","5b"
"11",49.64359,83.22378,"innermost","6a"
"12",52.15994,84.29016,"innermost","6b"
"13",56.72516,86.05543,"innermost","7a"
"14",55.89195,86.70565,"innermost","7b"
"15",57.96023,86.82063,"innermost","8a"
"16",50.47595,86.88953,"innermost","8b"
"17",50.60826,86.92187,"innermost","9a"
"18",59.75954,86.42327,"innermost","9b"
"19",51.17689,85.94048,"innermost","10a"
"20",51.06014,87.07378,"innermost","10b"
"21",54.0253,80.22213,"innermost","11a"
"22",56.01001,81.50696,"innermost","11b"
"23",56.5238,85.95412,"innermost","12a"
"24",58.19109,87.45473,"innermost","12b"
"25",51.92602,86.27295,"innermost","13a"
"26",58.27562,86.97263,"innermost","13b"
"27",56.20748,83.72106,"innermost","14a"
"28",50.20892,81.8057,"innermost","14b"
"29",58.30953,84.72316,"innermost","15a"
"30",52.30804,86.75502,"innermost","15b"
"31",59.54163,85.93865,"innermost","16a"
"32",51.24234,86.85607,"innermost","16b"
"33",56.42698,85.20729,"innermost","17a"
"34",58.99239,85.67273,"innermost","17b"
"35",56.59195,86.17228,"innermost","18a"
"36",58.62667,86.20696,"innermost","18b"
"37",58.05682,86.1205,"innermost","19a"
"38",52.84374,85.63735,"innermost","19b"
"39",51.00933,85.43967,"innermost","20a"
"40",53.67426,85.53791,"innermost","20b"
"41",56.44165,80.60516,"innermost","21a"
"42",57.94285,86.40657,"innermost","21b"
"43",52.42711,86.3208,"innermost","22a"
"44",58.94035,86.08734,"innermost","22b"
"45",51.00948,86.12303,"innermost","23a"
"46",56.6242135903659,87.9879569993494,"innermost","23b"
"47",56.85821,84.1885,"innermost","24a"
"48",50.4760994615853,80.039560536966,"innermost","24b"
"49",58.92375,86.97081,"innermost","25a"
"50",59.0402959711072,87.8207038557384,"innermost","25b"
"51",56.07526,86.7222,"innermost","26a"
"52",55.6747263704813,85.8717265203702,"innermost","26b"
"53",57.62373,85.02072,"innermost","27a"
"54",55.9071649994593,83.5040753386439,"innermost","27b"
"55",58.89178,86.97203,"innermost","28a"
"56",59.9579497624577,87.7217573166839,"innermost","28b"
"57",51.21086,86.68783,"innermost","29a"
"58",58.8588875530259,87.9225821407303,"innermost","29b"
"59",57.82562,87.07267,"innermost","30a"
"60",57.7265055875153,87.1568952384272,"innermost","30b"
"61",56.64296,88.17333,"innermost","31a"
"62",54.39362,88.48733,"innermost","31b"
"63",59.10792,88.35503,"innermost","32a"
