"","SampleID","lower","upper"
"1","C99601a",47.57394,86.60392
"2","C99601b",47.86892,85.0522
"3","C86001a",47.50956,87.19622
"4","c86001b",47.65945,85.34613
"5","c81401a",47.82694,81.08355
"6","c81401b",47.77598,83.3826
"7","L11201a",47.54955,86.7729
"8","L11201b",47.51083,87.48086
"9","L22201a",47.56925,86.36259
"10","L22201b",47.93978,85.38977
"11","L19801a",47.54581,85.64914
"12","L19801b",47.56613,87.42283
"13","L11901a",47.52696,85.51031
"14","L11901b",47.51564,81.97891
"15","C74401a",47.57983,86.36983
"16","C74401b",47.53034,87.47034
"17","C76501a",47.79117,81.9111
"18","C76501b",47.94696,85.13694
"19","C61601a",45.79425,81.76891
"20","C61601b",47.30266,81.16944
"21","C15701a",46.80537,85.21337
"22","C15701b",45.84554,83.44864
"23","C67201a",45.53649,81.21964
"24","C67201b",45.81131,83.17405
"25","M7201a",45.51957,81.92233
"26","M7201b",45.79399,81.42555
"27","M77501a",46.61662,87.68115
"28","M77501b",45.51957,89.46342
"29","M77801a",45.51974,88.05821
"30","M77801b",45.86265,88.60677
"31","M52407a",45.51971,84.63041
"32","M52407b",47.02795,83.61929
"33","M87401a",45.67362,85.43563
"34","M87401b",46.41116,85.16204
"35","M88301a",47.28503,82.69388
"36","M88301b",45.51936,86.82382
"37","M11608a",47.23354,81.66556
"38","M11608b",45.74271,84.20236
"39","M41708a",45.53702,82.24826
"40","M41708b",45.5368,89.48061
"41","M9702a",45.51965,85.19585
"42","M9702b",47.95303,81.47645
"43","M10302a",46.65084,89.4636
"44","M10302b",47.01047,84.75039
"45","M10002a",45.58797,81.90477
"46","M10002b",45.51901,81.0994
"47","M42309a",45.74177,88.62292
"48","M42309b",45.57028,85.40077
"49","C16a",47.51549,86.89217
"50","C16b",47.58345,81.87669
"51","C21a",47.788,86.81133
"52","C21b",47.78405,81.50396
"53","C17a",47.5572,82.18048
"54","C17b",47.99966,81.02293
"55","C15a",47.81514,81.16843
"56","C15b",47.96004,87.42007
"57","C31a",47.96749,87.32415
"58","C31b",47.55411,85.92748
"59","C39a",47.58193,86.09195
"60","C39b",47.6047,86.29801
"61","C34a",47.51792,86.72462
"62","C34b",47.99061,86.01729
"63","C40a",47.79001,87.48004
"64","C40b",47.57375,82.24699
"65","C29a",47.50348,87.2635
"66","C29b",47.58961,85.01294
"67","C03a",47.58442,86.63773
"68","C03b",47.75151,81.14804
"69","C06a",47.55659,87.44339
"70","C06b",47.9696,86.77962
"71","C04a",47.96211,87.34214
"72","C04b",47.55544,85.95215
