"","Temperature","393b","method"
"1",45,8.35452494799596e-05,"Inner"
"2",45.1,-1.18530199062875e-05,"Inner"
"3",45.2,-4.06209504779434e-05,"Inner"
"4",45.3,-2.8614836678495e-05,"Inner"
"5",45.4,-5.27665204802666e-06,"Inner"
"6",45.5,1.1959661056521e-05,"Inner"
"7",45.6,2.20588933782416e-05,"Inner"
"8",45.7,2.51661194524212e-05,"Inner"
"9",45.8,2.1431147693873e-05,"Inner"
"10",45.9,1.18441668558641e-05,"Inner"
"11",46,-8.04070062375871e-07,"Inner"
"12",46.1,-1.34903156779298e-05,"Inner"
"13",46.2,-2.3306318178313e-05,"Inner"
"14",46.3,-2.80026970731195e-05,"Inner"
"15",46.4,-2.55643142783729e-05,"Inner"
"16",46.5,-1.39763135980549e-05,"Inner"
"17",46.6,7.99779869467318e-06,"Inner"
"18",46.7,3.30083289412216e-05,"Inner"
"19",46.8,4.83779960916855e-05,"Inner"
"20",46.9,4.15593440983261e-05,"Inner"
"21",47,1.13399199271793e-05,"Inner"
"22",47.1,-2.66011027273394e-05,"Inner"
"23",47.2,-5.52079184592039e-05,"Inner"
"24",47.3,-5.74653108383811e-05,"Inner"
"25",47.4,-2.73994102313089e-05,"Inner"
"26",47.5,1.50088856629206e-05,"Inner"
"27",47.6,4.60526900462132e-05,"Inner"
"28",47.7,4.61705796690309e-05,"Inner"
"29",47.8,2.20952571318933e-05,"Inner"
"30",47.9,-9.16356060369506e-06,"Inner"
"31",48,-3.05724679495137e-05,"Inner"
"32",48.1,-2.67475557425272e-05,"Inner"
"33",48.2,-2.80865183703567e-06,"Inner"
"34",48.3,2.22368502807754e-05,"Inner"
"35",48.4,2.93026436409563e-05,"Inner"
"36",48.5,1.19429795880435e-05,"Inner"
"37",48.6,-1.57169139641383e-05,"Inner"
"38",48.7,-3.76627908926336e-05,"Inner"
"39",48.8,-3.78905047318951e-05,"Inner"
"40",48.9,-9.55160504165714e-06,"Inner"
"41",49,2.81656489969958e-05,"Inner"
"42",49.1,5.14757732790394e-05,"Inner"
"43",49.2,4.02488077098402e-05,"Inner"
"44",49.3,3.00550759314085e-06,"Inner"
"45",49.4,-3.82235150597966e-05,"Inner"
"46",49.5,-6.13282103534548e-05,"Inner"
"47",49.6,-4.61827152098738e-05,"Inner"
"48",49.7,-6.44892130844007e-07,"Inner"
"49",49.8,4.6725768036805e-05,"Inner"
"50",49.9,6.70692676272311e-05,"Inner"
"51",50,4.82513721790086e-05,"Inner"
"52",50.1,7.91832256158815e-06,"Inner"
"53",50.2,-3.32114148172372e-05,"Inner"
"54",50.3,-5.44291001858968e-05,"Inner"
"55",50.4,-4.38183646003438e-05,"Inner"
"56",50.5,-1.44574816144802e-05,"Inner"
"57",50.6,1.6163693649461e-05,"Inner"
"58",50.7,3.21624479682891e-05,"Inner"
"59",50.8,3.17122042600218e-05,"Inner"
"60",50.9,2.0252746756062e-05,"Inner"
"61",51,3.28478148625587e-06,"Inner"
"62",51.1,-1.3737035412098e-05,"Inner"
"63",51.2,-2.60991197990343e-05,"Inner"
"64",51.3,-2.96862053846067e-05,"Inner"
"65",51.4,-2.04316019701598e-05,"Inner"
"66",51.5,1.86291455270905e-06,"Inner"
"67",51.6,2.9850767489319e-05,"Inner"
"68",51.7,5.53140951503792e-05,"Inner"
"69",51.8,7.00342583721763e-05,"Inner"
"70",51.9,5.80034765707641e-05,"Inner"
"71",52,-2.37225415949278e-05,"Inner"
"72",52.1,-0.000223906792721955,"Inner"
"73",52.2,-0.00054963160653343,"Inner"
"74",52.3,-0.000600137719583983,"Inner"
"75",52.4,0.000256095651623484,"Inner"
"76",52.5,0.0026532118087597,"Inner"
"77",52.6,0.00719776066365073,"Inner"
"78",52.7,0.0139863504202398,"Inner"
"79",52.8,0.02266659364879,"Inner"
"80",52.9,0.0328703005392048,"Inner"
"81",53,0.0441484328357406,"Inner"
"82",53.1,0.0558791529498558,"Inner"
"83",53.2,0.0674183743997303,"Inner"
"84",53.3,0.0781220515621514,"Inner"
"85",53.4,0.087748854584494,"Inner"
"86",53.5,0.0974489771044848,"Inner"
"87",53.6,0.108672951674526,"Inner"
"88",53.7,0.122709670290836,"Inner"
"89",53.8,0.139266504519484,"Inner"
